Chain,Chain ID,Morpho Protocol ID,Identifier,Supply or borrow,Position,Position ID
ethereum,1,1,0x04af39f2a191e76cfb083fac5c6f0c2980a5055876bc327c058b797db0ae4923,3,1.1.3.0x04af39f2a191e76cfb083fac5c6f0c2980a5055876bc327c058b797db0ae4923,32877912618638033910255785965093707517653915426661811093052168314170356494295
ethereum,1,1,0x04cb29e91de681136643ace9ca1d7af7b15b43c33c1fbc34f45812a70ba640a1,2,1.1.2.0x04cb29e91de681136643ace9ca1d7af7b15b43c33c1fbc34f45812a70ba640a1,113265376421620761724666089170291819355424676411314335824232722557129292750352
ethereum,1,1,0x04cb29e91de681136643ace9ca1d7af7b15b43c33c1fbc34f45812a70ba640a1,3,1.1.3.0x04cb29e91de681136643ace9ca1d7af7b15b43c33c1fbc34f45812a70ba640a1,90616814773046835064271226738075286416681346538068176219361012379075067868414
ethereum,1,1,0x04ded70fb239f5c5a2b2a0b62bb4e00e44796b891f3d853819cb1c19c03a252d,2,1.1.2.0x04ded70fb239f5c5a2b2a0b62bb4e00e44796b891f3d853819cb1c19c03a252d,6098119440520480648059407651500915269247707896518339539575249078643960221227
ethereum,1,1,0x04ded70fb239f5c5a2b2a0b62bb4e00e44796b891f3d853819cb1c19c03a252d,3,1.1.3.0x04ded70fb239f5c5a2b2a0b62bb4e00e44796b891f3d853819cb1c19c03a252d,89675571645237554216369805706488238519495984791427160217797194644607651315819
ethereum,1,1,0x05702edf1c4709808b62fe65a7d082dccc9386f858ae460ef207ec8dd1debfa2,2,1.1.2.0x05702edf1c4709808b62fe65a7d082dccc9386f858ae460ef207ec8dd1debfa2,40746596965649144736887468918662140612995568462656993765889005830212283054312
ethereum,1,1,0x05702edf1c4709808b62fe65a7d082dccc9386f858ae460ef207ec8dd1debfa2,3,1.1.3.0x05702edf1c4709808b62fe65a7d082dccc9386f858ae460ef207ec8dd1debfa2,36323518507894683133677694239285482481664447839162897216397756032196401579611
ethereum,1,1,0x0587e251513bd44079f799bc3e8bd82f7922267295b5f7fa276c27dfdca13550,2,1.1.2.0x0587e251513bd44079f799bc3e8bd82f7922267295b5f7fa276c27dfdca13550,65459866693426444973414951123975538205555757439836684227800824474000525154181
ethereum,1,1,0x0587e251513bd44079f799bc3e8bd82f7922267295b5f7fa276c27dfdca13550,3,1.1.3.0x0587e251513bd44079f799bc3e8bd82f7922267295b5f7fa276c27dfdca13550,104444476866718709991411438936480159090794414794854010722768044112960344493639
ethereum,1,1,0x05c3f718ee2fe08c0d456fb252f6731063af629462947e2b93edf7ea71b15cb9,2,1.1.2.0x05c3f718ee2fe08c0d456fb252f6731063af629462947e2b93edf7ea71b15cb9,9307834300071413641905939773499397915262684875856183214266791440034077873242
ethereum,1,1,0x05c3f718ee2fe08c0d456fb252f6731063af629462947e2b93edf7ea71b15cb9,3,1.1.3.0x05c3f718ee2fe08c0d456fb252f6731063af629462947e2b93edf7ea71b15cb9,84092250663801742875888633337214565548917669316300411796438820595792218295473
ethereum,1,1,0x060f95069f9cee9d77263f1f9e5295481584cefd97aa7b2fc9e55444d617fd1a,2,1.1.2.0x060f95069f9cee9d77263f1f9e5295481584cefd97aa7b2fc9e55444d617fd1a,33622281414264806671301608948416256347284469864238638302323314497615220852037
