Chain,Chain ID,Morpho Protocol ID,Identifier,Position,Position ID
ethereum,1,2,0xA1B096268D200d0ecFD57015700F6a0DA9c494e2,1.2.1.0xa1b096268d200d0ecfd57015700f6a0da9c494e2,80484695619309029380376673672481902787634758618288750686287076363552787436871
ethereum,1,2,0xa1F315C7C8D0088a4Ed63e83AE62674113747e1a,1.2.1.0xa1f315c7c8d0088a4ed63e83ae62674113747e1a,57002302445590066361212431986042697897727908841532837369857656535126422916434
ethereum,1,2,0xa30D20cB10c869bAf99EbeADFD79408fe7Ad8FaA,1.2.1.0xa30d20cb10c869baf99ebeadfd79408fe7ad8faa,76018204950329580333566642974483777125737373348914125780473716454040754638807
ethereum,1,2,0xA7A78E8e98c734f87A3B07D8DB627C67001ABD02,1.2.1.0xa7a78e8e98c734f87a3b07d8db627c67001abd02,88926564103690472748153929321546531210537837605996056413585956824345710009895
ethereum,1,2,0xa830F31eee1b93D9339C33A81175286De8748429,1.2.1.0xa830f31eee1b93d9339c33a81175286de8748429,45481844982421332242199162564038032702321006518727552176587638355414723218182
ethereum,1,2,0xa877D5bb0274dcCbA8556154A30E1Ca4021a275f,1.2.1.0xa877d5bb0274dccba8556154a30e1ca4021a275f,21372675676825236741173840588147496783078422053009153823211234261943855310089
ethereum,1,2,0xaA8d9E2aBa210639cE6C7cE21385e7c673ACa6f3,1.2.1.0xaa8d9e2aba210639ce6c7ce21385e7c673aca6f3,87916543751978792363196404448095538813631770972277981411680663453961037953642
ethereum,1,2,0xAC301bf985551fa1bFBED418E39F0e62eA04fF00,1.2.1.0xac301bf985551fa1bfbed418e39f0e62ea04ff00,90509657176307920461514793042517216618265111323565578424193683559975041463900
ethereum,1,2,0xAdAe2890377F3e51593b9Df212fbBA8Ba07FB31E,1.2.1.0xadae2890377f3e51593b9df212fbba8ba07fb31e,18260837062541992881495191669587094728614940631862449317200275070824398873414
ethereum,1,2,0xAE57b2874673C7E0f5462B598220775017094E8f,1.2.1.0xae57b2874673c7e0f5462b598220775017094e8f,51566128632241950553052200967889406707335427474351139872982264520360980820306
ethereum,1,2,0xae9A5aa54ae43BB8811435F02A29E9d2B43CDC7C,1.2.1.0xae9a5aa54ae43bb8811435f02a29e9d2b43cdc7c,101835698868608049685398144591136757211322980031107683711825435135480450353315
ethereum,1,2,0xb1EC0Be0fe8485F0B5309bB1aA1cE7d4B100E265,1.2.1.0xb1ec0be0fe8485f0b5309bb1aa1ce7d4b100e265,47489262783658381140002522287875960693525380430077823135280522686201971310162
ethereum,1,2,0xB33E87f90323ecF2E3196B865302e070B4507DBf,1.2.1.0xb33e87f90323ecf2e3196b865302e070b4507dbf,107280459964663670764057703063985917266743765262585129789826741441985867846603
ethereum,1,2,0xb576765fB15505433aF24FEe2c0325895C559FB2,1.2.1.0xb576765fb15505433af24fee2c0325895c559fb2,93989431931251293959552517329981334886449028316461130938097114400408670974927
ethereum,1,2,0xB7305D968ECD8a23a13eC01927E3f9588C7653B5,1.2.1.0xb7305d968ecd8a23a13ec01927e3f9588c7653b5,80601514487641174848263591220166093954379202183228800749120436515253002857633
ethereum,1,2,0xb789265cf021A9E290f69a07dE4F0E32D6372665,1.2.1.0xb789265cf021a9e290f69a07de4f0e32d6372665,113766966992071489214950409018708325256734044767115283480668662040863758256614
ethereum,1,2,0xB857C44Ceee3FEC4A468A6f4C36e6EF320F81EEF,1.2.1.0xb857c44ceee3fec4a468a6f4c36e6ef320f81eef,30214218889887814758873082914400854532912055419165872036129080750368368698388
ethereum,1,2,0xB885F6d448dA7E2C642Ec31190B629E40E87B069,1.2.1.0xb885f6d448da7e2c642ec31190b629e40e87b069,24760615721220652388583347449542209044090624584096684325906996977333343310622
ethereum,1,2,0xbB3a3905e326d0e0EA37Da19eDd5e4d9C1A50e6A,1.2.1.0xbb3a3905e326d0e0ea37da19edd5e4d9c1a50e6a,97532990191894730177291180414910945564717946674797030832122083230217422109167
ethereum,1,2,0xBb50A5341368751024ddf33385BA8cf61fE65FF9,1.2.1.0xbb50a5341368751024ddf33385ba8cf61fe65ff9,40284105082871612025973426704479714561733445035822168224478099818409308690945
ethereum,1,2,0xbB5ad5d522684de9dD3f545fa6D6ac5BBCA4710E,1.2.1.0xbb5ad5d522684de9dd3f545fa6d6ac5bbca4710e,97432103495120948216705699780263020992849426574184165576632263725496786524318
ethereum,1,2,0xbe518068EB6135117207256F8C9aFf81B4382DB1,1.2.1.0xbe518068eb6135117207256f8c9aff81b4382db1,98067097877315387251279667259658421513102344798919353627316347241085148925274
ethereum,1,2,0xbEE70A23ba190221C9819A62914Bb86d3b6E8d9B,1.2.1.0xbee70a23ba190221c9819a62914bb86d3b6e8d9b,74478498243073870457954465122269915575127092204308648249013062296206488224429
ethereum,1,2,0xbeef003C68896c7D2c3c60d363e8d71a49Ab2bf9,1.2.1.0xbeef003c68896c7d2c3c60d363e8d71a49ab2bf9,4006181232054141208147454663884125496812341165091287999287630871414616434294
ethereum,1,2,0xbeef003E31546C7210687f1A7b40d096BE83ec58,1.2.1.0xbeef003e31546c7210687f1a7b40d096be83ec58,57328603709352177814366754056877631697606676069734276272332783495595285459949
ethereum,1,2,0xbeef0046fcab1dE47E41fB75BB3dC4Dfc94108E3,1.2.1.0xbeef0046fcab1de47e41fb75bb3dc4dfc94108e3,103967726280143056066898279984115352090192947717543700949249819280502798973366
ethereum,1,2,0xbeef00B5d83C1188F07A5184230a805639c39f04,1.2.1.0xbeef00b5d83c1188f07a5184230a805639c39f04,4837828707941126746951398624581022195013806614381483728877738507984006313417
ethereum,1,2,0xbeef088055857739C12CD3765F20b7679Def0f51,1.2.1.0xbeef088055857739c12cd3765f20b7679def0f51,92913126632701618168692101400696791611252150486759189953517405985285166360833
ethereum,1,2,0xbeef0C075Da5D01112AE5cF34d257074fB5DDB2f,1.2.1.0xbeef0c075da5d01112ae5cf34d257074fb5ddb2f,87778405991606421288648098232095279569847795953308438117217762230537789812877
ethereum,1,2,0xbeef0D24920098C404c7Fc7942ee6d0f66d65D57,1.2.1.0xbeef0d24920098c404c7fc7942ee6d0f66d65d57,108162440817452791808216404042992131724010608364580190818514751839375925913483
ethereum,1,2,0xBEEf3f3A04e28895f3D5163d910474901981183D,1.2.1.0xbeef3f3a04e28895f3d5163d910474901981183d,22094092104408234396212790208933902836268032832740102122741979067573905530831
ethereum,1,2,0xBeEf3F9495E101EBf379D16cDE98131717bdb7bf,1.2.1.0xbeef3f9495e101ebf379d16cde98131717bdb7bf,14348603304911138460546402822650142236618911234355222460127008579099586904944
ethereum,1,2,0xBeEf3FC80fd62989190085221dFBb02F2f8a3B9C,1.2.1.0xbeef3fc80fd62989190085221dfbb02f2f8a3b9c,13711171538208236618365254393016516927253721601419998848120231212229807832410
ethereum,1,2,0xBEeFF047C03714965a54b671A37C18beF6b96210,1.2.1.0xbeeff047c03714965a54b671a37c18bef6b96210,48636259175193197906678594418321381357213395929222460195378806135852295659576
ethereum,1,2,0xBEEFf072E9EFdc7c819b374066DD876b334210A3,1.2.1.0xbeeff072e9efdc7c819b374066dd876b334210a3,91713679393737249072274050403398648200846092380130342815193451465590117181978
ethereum,1,2,0xbeeff07d991C04CD640DE9F15C08ba59c4FEDEb7,1.2.1.0xbeeff07d991c04cd640de9f15c08ba59c4fedeb7,62637211969224093105524059488197642861679330667763208449264095370504718130145
ethereum,1,2,0xBeefF08dF54897e7544aB01d0e86f013DA354111,1.2.1.0xbeeff08df54897e7544ab01d0e86f013da354111,74168587304384001606478898528243227739829074228313536438706002729542431683069
ethereum,1,2,0xBEEfF0d672ab7F5018dFB614c93981045D4aA98a,1.2.1.0xbeeff0d672ab7f5018dfb614c93981045d4aa98a,57310467728868034306481637070830940334518852126943064623121063847563422105742
ethereum,1,2,0xbeeff2C5bF38f90e3482a8b19F12E5a6D2FCa757,1.2.1.0xbeeff2c5bf38f90e3482a8b19f12e5a6d2fca757,38096331709133828055802421894965830950568487498874881355388816994842029637744
ethereum,1,2,0xbeeff5d996F649eB9b35514610A5F660Da3d0684,1.2.1.0xbeeff5d996f649eb9b35514610a5f660da3d0684,40838738208316821499445811218242749676911433096294378981949253651849916781820
ethereum,1,2,0xbEeFf89ABb7815cCD5182BD1FF82C4a4F8FCb13D,1.2.1.0xbeeff89abb7815ccd5182bd1ff82c4a4f8fcb13d,38514911923797679425223385841758238267206677039057315364128419301249033057774
ethereum,1,2,0xc71f3BAaeBd3fa9c5716fC66b89493ae66BeAc50,1.2.1.0xc71f3baaebd3fa9c5716fc66b89493ae66beac50,38879813378115785918385043553166315763174260656706092704826203319108831859581
